City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,shimoda,34.6667,138.95,24.2,83,100,3.06,JP,Jun  8 2023
173,bamnet narong,15.4992,101.6897,30.31,63,86,7.96,TH,Jun  8 2023
174,hutthurm,48.6667,13.4833,14.97,93,97,1.02,DE,Jun  8 2023
175,bodo,67.28,14.405,6.64,92,100,2.06,NO,Jun  8 2023
176,le morne-rouge,14.7667,-61.1333,24.76,45,41,5.54,MQ,Jun  8 2023
177,vadso,70.0744,29.7487,5.49,70,75,5.66,NO,Jun  8 2023
178,haikou,20.0458,110.3417,33.07,66,20,2.0,CN,Jun  8 2023
179,fredonia,42.4401,-79.3317,12.93,81,0,1.54,US,Jun  8 2023
180,berat,40.7058,19.9522,20.31,72,96,1.17,AL,Jun  8 2023
181,taro,-8.3862,115.28,25.0,69,80,2.18,ID,Jun  8 2023
182,kamaishi,39.2667,141.8833,20.71,74,100,3.85,JP,Jun  8 2023
183,putian,25.4394,119.0103,34.36,51,47,4.4,CN,Jun  8 2023
184,east london,-33.0153,27.9116,11.52,82,0,3.09,ZA,Jun  8 2023
185,san pedro pochutla,15.7333,-96.4667,25.95,79,43,2.0,MX,Jun  8 2023
186,newman,37.3138,-121.0208,22.38,78,100,3.13,US,Jun  8 2023
187,westbrook,43.677,-70.3712,11.63,91,0,3.09,US,Jun  8 2023
188,lumding railway colony,25.749,93.17,32.5,48,100,0.27,IN,Jun  8 2023
189,ivdel',60.6911,60.4206,14.64,49,45,1.1,RU,Jun  8 2023
190,rome,34.257,-85.1647,23.23,73,100,0.89,US,Jun  8 2023
191,zaozersk,69.4005,32.4476,5.58,61,69,3.6,RU,Jun  8 2023
192,tutoia,-2.7619,-42.2744,24.84,88,11,3.31,BR,Jun  8 2023
193,new norfolk,-42.7826,147.0587,14.95,86,100,1.38,AU,Jun  8 2023
194,egilsstadir,65.2653,-14.3948,6.95,81,0,7.2,IS,Jun  8 2023
195,ulladulla,-35.35,150.4667,15.98,89,100,4.77,AU,Jun  8 2023
196,gadzhiyevo,69.2551,33.3362,5.27,67,40,2.87,RU,Jun  8 2023
197,paramonga,-10.6667,-77.8333,22.3,85,95,3.27,PE,Jun  8 2023
198,argo,37.6333,22.7333,20.44,49,100,1.95,GR,Jun  8 2023
199,popondetta,-8.7537,148.2534,23.75,98,99,0.6,PG,Jun  8 2023
200,bela,25.9333,81.9833,41.88,13,0,4.26,IN,Jun  8 2023
201,ust-nera,64.5667,143.2,11.16,74,97,2.42,RU,Jun  8 2023
202,terrace,54.5163,-128.6035,25.95,27,40,1.54,CA,Jun  8 2023
203,severnoye,56.3491,78.3619,28.71,46,78,3.32,RU,Jun  8 2023
204,stanley,54.868,-1.6985,9.39,81,75,2.06,GB,Jun  8 2023
205,kattivakkam,13.2167,80.3167,36.05,63,100,1.98,IN,Jun  8 2023
206,porto novo,6.4965,2.6036,21.9,94,100,3.0,BJ,Jun  8 2023
207,kavaratti,10.5669,72.642,29.11,77,96,7.77,IN,Jun  8 2023
208,bubaque,11.2833,-15.8333,27.66,75,72,5.81,GW,Jun  8 2023
209,eyl,7.9803,49.8164,28.88,60,98,9.81,SO,Jun  8 2023
210,plastun,44.7561,136.2939,13.7,91,100,2.02,RU,Jun  8 2023
211,arkhangel'sk,64.5401,40.5433,9.91,50,89,2.56,RU,Jun  8 2023
212,camalu,30.85,-116.0667,15.2,85,62,3.21,MX,Jun  8 2023
213,mugia,43.1041,-9.2179,18.84,87,56,4.8,ES,Jun  8 2023
214,mosjoen,65.836,13.1908,5.79,90,75,1.03,NO,Jun  8 2023
215,kourou,5.1552,-52.6478,24.03,91,97,2.69,GF,Jun  8 2023
216,termas de rio hondo,-27.4998,-64.8604,17.96,88,7,1.11,AR,Jun  8 2023
217,zuunmod,47.7069,106.9528,19.57,35,61,9.16,MN,Jun  8 2023
218,saint-benoit,-21.038,55.7194,24.06,76,42,4.73,RE,Jun  8 2023
219,misratah,32.3754,15.0925,20.47,79,87,2.71,LY,Jun  8 2023
220,brisas de zicatela,15.8369,-97.0419,29.29,70,20,2.57,MX,Jun  8 2023
221,dubbo,-32.25,148.6167,14.07,94,100,6.17,AU,Jun  8 2023
222,hadibu,12.65,54.0333,29.36,77,90,6.21,YE,Jun  8 2023
223,zeya,53.75,127.2667,22.46,44,73,3.65,RU,Jun  8 2023
224,mahina,-17.5065,-149.489,27.64,65,40,1.54,PF,Jun  8 2023
225,belmonte,-15.8631,-38.8828,22.44,82,3,4.13,BR,Jun  8 2023
226,queenstown,-31.8976,26.8753,8.39,41,1,3.41,ZA,Jun  8 2023
227,soio,-6.1349,12.3689,22.04,94,97,2.67,AO,Jun  8 2023
228,bardai,11.65,7.2333,22.45,73,98,4.46,NG,Jun  8 2023
229,lerwick,60.1545,-1.1494,10.0,76,13,4.14,GB,Jun  8 2023
230,salalah,17.0151,54.0924,30.05,74,20,1.03,OM,Jun  8 2023
231,lauro de freitas,-12.8944,-38.3272,24.01,94,75,7.2,BR,Jun  8 2023
232,payson,40.0444,-111.7321,19.1,46,0,3.6,US,Jun  8 2023
233,la verpilliere,45.6365,5.1415,18.17,82,0,4.12,FR,Jun  8 2023
234,tazovsky,67.4667,78.7,6.67,65,100,5.2,RU,Jun  8 2023
235,loushanguan,28.1375,106.82,21.39,79,97,2.72,CN,Jun  8 2023
236,sparti,37.0733,22.4297,21.08,81,97,0.94,GR,Jun  8 2023
237,ergli,56.8975,25.6367,15.3,50,5,0.35,LV,Jun  8 2023
238,santo angelo,-28.2992,-54.2631,17.14,70,67,1.95,BR,Jun  8 2023
239,minas de marcona,-15.2119,-75.1103,13.07,89,27,3.77,PE,Jun  8 2023
240,sondrio,46.169,9.8692,17.1,95,35,1.41,IT,Jun  8 2023
241,saldanha,-33.0117,17.9442,14.03,92,52,10.9,ZA,Jun  8 2023
242,makaha,21.4694,-158.2175,27.95,53,20,3.6,US,Jun  8 2023
243,howard springs,-12.497,131.047,32.95,38,69,3.22,AU,Jun  8 2023
244,coruripe,-10.1256,-36.1756,24.17,84,44,3.44,BR,Jun  8 2023
245,salinopolis,-0.6136,-47.3561,25.65,87,76,3.85,BR,Jun  8 2023
246,guadalupe y calvo,26.1,-106.9667,9.93,92,18,1.34,MX,Jun  8 2023
247,sierra grande,-41.606,-65.3557,12.16,38,100,3.13,AR,Jun  8 2023
248,port lincoln,-34.7333,135.8667,16.54,61,55,11.63,AU,Jun  8 2023
249,jayapura,-2.5333,140.7,33.66,71,45,2.2,ID,Jun  8 2023
250,matadi,-5.8167,13.45,21.92,94,91,0.91,CD,Jun  8 2023
251,tommot,58.9564,126.2925,22.28,44,76,4.16,RU,Jun  8 2023
252,monte aprazivel,-20.7725,-49.7142,20.36,65,0,2.82,BR,Jun  8 2023
253,kingston,17.997,-76.7936,28.53,87,40,5.14,JM,Jun  8 2023
254,avarua,-21.2078,-159.775,24.03,83,75,6.17,CK,Jun  8 2023
255,nogliki,51.8333,143.1667,7.87,77,17,5.67,RU,Jun  8 2023
256,puerto santa,-8.9906,-78.6456,22.48,87,51,2.76,PE,Jun  8 2023
257,hawaiian paradise park,19.5933,-154.9731,25.73,82,0,2.57,US,Jun  8 2023
258,harstad,68.799,16.5293,5.09,100,100,9.39,NO,Jun  8 2023
259,pimenta bueno,-11.6725,-61.1936,22.84,87,78,0.12,BR,Jun  8 2023
260,yarmouth,41.7057,-70.2286,14.42,88,100,2.24,US,Jun  8 2023
261,keflavik,64.0049,-22.5624,9.24,93,100,10.29,IS,Jun  8 2023
262,new plymouth,-39.0667,174.0833,12.4,78,2,2.41,NZ,Jun  8 2023
263,babu,24.4167,111.5167,32.6,61,92,1.09,CN,Jun  8 2023
264,ceeldheer,3.8488,47.1806,27.46,73,99,7.65,SO,Jun  8 2023
265,ledbury,52.0364,-2.4263,8.53,98,14,2.57,GB,Jun  8 2023
266,nabire,-3.3667,135.4833,30.71,63,42,2.64,ID,Jun  8 2023
267,codrington,-38.2667,141.9667,14.09,73,84,7.47,AU,Jun  8 2023
268,al jawf,29.5,38.75,26.07,27,0,1.41,SA,Jun  8 2023
269,codlea,45.7,25.45,15.14,57,91,1.01,RO,Jun  8 2023
270,dryden,49.7833,-92.7503,14.16,88,0,2.06,CA,Jun  8 2023
271,ihosy,-22.4,46.1167,17.75,82,45,2.33,MG,Jun  8 2023
272,puyang,29.4603,119.8861,26.82,84,97,2.34,CN,Jun  8 2023
273,la passe,45.5549,-0.8967,20.55,88,81,4.88,FR,Jun  8 2023
274,remire-montjoly,4.9167,-52.2667,24.02,100,100,0.0,GF,Jun  8 2023
275,nar'yan-mar,67.6713,53.087,4.76,54,97,3.83,RU,Jun  8 2023
276,semey,50.4111,80.2275,32.12,18,0,3.0,KZ,Jun  8 2023
277,turkmenbasy,40.0222,52.9552,21.43,56,0,4.12,TM,Jun  8 2023
278,leticia,-4.2153,-69.9406,24.03,94,40,0.0,CO,Jun  8 2023
279,nieuw amsterdam,5.8833,-55.0833,25.57,89,98,3.06,SR,Jun  8 2023
